Bakim Yeri	Ekipman	Teknik Tanitici Numarasi	SCE Grubu	SCE Sebebi	Ekipman Tipi
1001	1100012559	214-LZH-3004	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012568	214-LZH-3004-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012575	214-LZH-3004-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012584	214-LZH-3004-C	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012592	214-LZH-3005	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012601	214-LZH-3005-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012609	214-LZH-3005-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012618	214-LZH-3005-C	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012626	214-LZH-3006	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012635	214-LZH-3006-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012644	214-LZH-3006-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012651	214-LZH-3006-C	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012708	214-LZH-5004-A2	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012724	214-LZH-5004-B2	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012742	214-LZHH-5004-A1	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100012750	214-LZHH-5004-B1	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Level Switch
1001	1100021110	214-PCV-2001-CV	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Self-Operated Control Valve
1001	1100108864	214-PCV-2001-TX	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Differential Pressure Flow Transmitter
1001	1100021118	214-PCV-2002-1-CV	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Self-Operated Control Valve
1001	1100108865	214-PCV-2002-1-TX	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Differential Pressure Flow Transmitter
1001	1100108868	214-PCV-2002-2-CV	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Instrument Control Valve
1001	1100108866	214-PCV-2002-2-TX	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Differential Pressure Flow Transmitter
1001	1100021283	214-PCV-4001-CV	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Self-Operated Control Valve
1001	1100108867	214-PCV-4001-TX	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Differential Pressure Flow Transmitter
1001	1100021920	214-PIC-5011-A-CV	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Instrument Control Valve
1001	1100021930	214-PIC-5011-B-CV	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Instrument Control Valve
1001	1100015695	214-PZL-9002-1	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Switch
1001	1100015703	214-PZL-9002-2	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Switch
1001	1100015710	214-PZL-9002-3	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Switch
1001	1100096205	214-TE-2011-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096206	214-TE-2011-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096207	214-TE-2011-C	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096516	214-TE-4002-A2-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096517	214-TE-4002-A2-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096518	214-TE-4002-A3-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096519	214-TE-4002-A3-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096520	214-TE-4002-A4-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096521	214-TE-4002-A4-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096522	214-TE-4002-A5-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096523	214-TE-4002-A5-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096524	214-TE-4002-A6-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096525	214-TE-4002-A6-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096526	214-TE-4002-A7-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096527	214-TE-4002-A7-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096529	214-TE-4005-B2-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096530	214-TE-4005-B2-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096531	214-TE-4005-B3-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096532	214-TE-4005-B3-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096533	214-TE-4005-B4-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096534	214-TE-4005-B4-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096535	214-TE-4005-B5-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096536	214-TE-4005-B5-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096537	214-TE-4005-B6-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096538	214-TE-4005-B6-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096539	214-TE-4005-B7-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100096540	214-TE-4005-B7-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1001	1100161202	214-TZAHH-4002-2	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
1001	1100161203	214-TZAHH-4002-3	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
1001	1100161204	214-TZAHH-4002-4	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
1001	1100161205	214-TZAHH-4002-5	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
1001	1100161206	214-TZAHH-4002-6	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
1001	1100161207	214-TZAHH-4002-7	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
1001	1100161214	214-TZAHH-4005-2	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
1001	1100161215	214-TZAHH-4005-3	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
1001	1100161216	214-TZAHH-4005-4	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
1001	1100161217	214-TZAHH-4005-5	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Temperature Element
